Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2018-06-13,"3,335","6,344",2.99,4,"1,186",241,5,8,"1,333"
2018-06-12,"3,352","4,535",2.14,1,"1,224",186,20,10,"1,241"
2018-06-11,"2,146",0,0,0,"1,440",0,0,0,0
2018-06-10,"3,432","7,029",3.32,7,728,230,35,9,"1,549"
2018-06-09,"2,859","3,130",1.48,7,835,127,24,1,780
2018-06-08,"2,465","1,929",0.91,1,"1,361",79,0,0,389
2018-06-07,"2,146",0,0,0,"1,440",0,0,0,0
2018-06-06,"2,145",0,0,0,"1,440",0,0,0,0
2018-06-05,"3,189","4,486",2.12,4,823,177,10,0,"1,022"
2018-06-04,"3,585","6,162",2.91,6,"1,171",225,36,8,"1,530"
2018-06-03,"3,765","6,815",3.21,2,545,201,42,29,"1,834"
2018-06-02,"2,742","2,946",1.39,3,717,171,0,0,752
2018-06-01,"3,513","6,916",3.26,0,690,279,10,2,"1,527"
2018-05-31,"3,420","5,879",2.77,3,735,230,5,6,"1,349"
2018-05-30,"3,324","5,519",2.6,1,"1,201",217,19,3,"1,264"
2018-05-29,"3,466","6,448",3.04,0,899,254,9,0,"1,427"
2018-05-28,"3,213","3,875",1.83,2,668,164,0,0,922
2018-05-27,"3,407","5,347",2.52,2,825,209,21,6,"1,260"
2018-05-26,"3,121","4,092",1.93,2,"1,258",172,7,3,999
2018-05-25,"3,155","5,389",2.54,1,821,145,32,13,"1,127"
2018-05-24,"2,756","3,470",1.64,0,804,143,0,0,723
2018-05-23,"3,772","6,889",3.25,0,921,241,42,14,"1,765"
2018-05-22,"3,581","4,680",2.21,1,625,209,33,2,"1,460"
2018-05-21,"3,009","3,989",1.88,3,727,182,0,0,932
2018-05-20,"3,098","4,986",2.35,3,795,174,5,6,978
2018-05-19,"4,112","14,917",7.04,7,646,193,34,89,"2,228"
2018-05-18,"4,376","13,958",6.58,7,682,178,67,92,"2,549"
2018-05-17,"3,066","4,080",1.92,4,867,158,0,0,897
2018-05-16,"3,497","5,882",2.77,1,825,234,5,6,"1,396"
2018-05-15,"3,152","4,313",2.03,0,767,183,9,0,"1,011"
2018-05-14,"2,966","3,710",1.75,0,959,119,19,0,794
2018-05-13,"2,572","1,689",0.8,0,895,84,0,0,394
2018-05-12,"3,318","4,125",1.95,2,756,184,4,7,"1,113"
2018-05-11,"2,950","2,771",1.31,1,947,130,0,0,727
2018-05-10,"3,081","1,364",0.64,0,"1,295",136,5,4,924
2018-05-09,"2,153",21,0.01,0,"1,438",2,0,0,8
2018-05-08,"2,591","1,187",0.56,2,"1,221",53,17,2,410
2018-05-07,"2,524",952,0.45,0,907,63,0,0,283
2018-05-06,"2,771","1,383",0.65,0,976,103,0,0,506
2018-05-05,"2,551",833,0.39,0,969,68,0,0,326
2018-05-04,"2,522",904,0.43,1,"1,012",61,0,0,269
2018-05-03,"3,121","2,232",1.05,0,876,157,16,0,"1,006"
2018-05-02,"2,660","1,372",0.65,0,927,90,0,0,419
2018-05-01,"3,292","2,581",1.22,0,919,167,13,2,"1,068"
2018-04-30,"2,825","1,323",0.62,0,880,104,0,0,540
2018-04-29,"2,851","1,639",0.77,0,891,122,0,0,602
2018-04-28,"3,379","3,521",1.66,2,702,155,22,11,"1,124"
2018-04-27,"3,649","9,971",4.7,19,"1,158",219,46,17,"1,752"
2018-04-26,"2,635","2,931",1.38,2,"1,347",93,0,0,566
